NAME,var_type,nmiss_oos,pctmiss_oos,nmiss_oot,pctmiss_oot
CreateJob,Numeric,0,0,0,0
Default,Numeric,0,0,0,0
DisbursementGross,Numeric,0,0,0,0
FranchiseCode,Numeric,0,0,0,0
LoanNr_ChkDgt,Numeric,0,0,0,0
Name,Character,0,0,0,0
New,Numeric,0,0,0,0
NoEmp,Numeric,0,0,0,0
Portion,Numeric,0,0,0,0
RealEstate,Numeric,0,0,0,0
Recession,Numeric,0,0,0,0
RetainedJob,Numeric,0,0,0,0
RevLineCr,Character,4,0.0019029496,19,0.0426008969
Term,Numeric,0,0,0,0
WrittenOff,Numeric,0,0,446,1
Zip,Numeric,0,0,0,0
bad_flag,Numeric,0,0,0,0
