Term,NoEmp,CreateJob,RetainedJob,FranchiseCode,DisbursementGross,Default,RealEstate,Portion,Recession,bad_flag,RevLineCr,var,estimate,__levelN,_b0,linpred,rc,pd_hat
84,10,0,10,0,12555,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
240,1,11,0,0,2000000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
58,7,0,7,0,82000,1,0,0.9,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,1,20,0,0,1130000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
84,1,30,30,0,150000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,9,0,9,0,75000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,6,3,0,0,204000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,54,30,0,0,987000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
240,25,0,25,0,1389000,0,1,0.8211,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
60,10,0,10,0,70000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
240,1,30,0,0,1218000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
120,256,35,0,0,3525000,0,0,1,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,1,0,1,0,5075,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
240,3,0,3,0,55000,0,1,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
84,9,5,9,1,120000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
42,1,5,1,0,200000,1,0,0.5,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,1,20,0,1,1053000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
